Highlighted Clause,Plain Language Summary
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction.,Your personal information might be sold or transferred if the company goes through a bankruptcy process or a similar financial transaction.
"We may modify, suspend, or terminate your access to or use of our Services anytime for any reason, such as if you violate the letter or spirit of our Terms or create harm, risk, or possible legal exposure for us, our users, or others.","The company can change, stop, or end your use of their services at any time and for any reason, especially if you break the rules or cause any harm or legal issues."
"Upon the purchase of content, you and the purchaser of your content will enter into a separate agreement, pursuant to which that purchaser agrees to pay the specified fees for the content and you agree to enable access to your content.","When you buy content, you enter into a separate contract with the seller, who agrees to provide the content once you pay the agreed upon fees."
"Company, in its sole discretion, may from time to time impose limits on the ability to purchase content via the services.",The company has the right to set limits on how you can buy content through their services at any time.
"The following sections will survive the expiration or termination of these terms: all defined terms and sections 12 - 18, 21 and 22.","Certain important sections of the terms, specifically sections 12 through 18 and 21 through 22, will continue to apply even after the terms end."
"You are solely responsible for resolving any disputes with users of your content, including any chargebacks or refunds, and for any and all injuries, illnesses, damages, claims, liabilities and costs that are caused in whole or in part by you or your content.","You are solely responsible for dealing with any issues related to your content, including refund requests and damages that your content might cause."
"We will own exclusive rights, including, without limitation, all intellectual property rights, in and to feedback and will be entitled to the unrestricted use and dissemination of feedback for any purpose, commercial or otherwise, without acknowledgment or compensation to you.","The company will have all the rights to any feedback you provide, and they can use it however they want without compensating or acknowledging you."
Amendment we reserve the right to change these terms from time to time upon notice to you.,"The company can change these terms as needed, but they will notify you when they do this."
"Further, you will not do any of the following in connection with the services or any other users...","You are not allowed to engage in certain activities that could harm the services or other users, like spreading viruses or attempting to interfere with the service."
"If you do not agree to these terms of service, do not access or use the services.","If you don't accept these terms, you are not permitted to use the services."
"No class arbitrations, class actions or representative actions any dispute arising out of or related to these terms or the services is personal to you and the company and will be resolved solely through individual arbitration and will not be brought as a class arbitration, class action or any other type of representative proceeding.",You can't participate in a class action lawsuit or arbitration; all disputes must be handled individually through arbitration.
"The limitations set forth in this section will not limit or exclude liability for the gross negligence, fraud or intentional misconduct of the company or other company parties or for any other matters in which liability cannot be excluded or limited under applicable law.","Despite limitations on liability, the company can still be held responsible for serious wrongdoing like gross negligence, fraud, or intentional bad actions."
Disclaimers your use of our services is at your sole risk.,You use the company's services at your own risk.
Arbitration please read the following section carefully because it requires you to arbitrate certain disputes and claims with the company and limits the manner in which you can seek relief from us.,You need to pay special attention to the arbitration section because it affects how you can resolve any disputes with the company.
"Termination or suspension notwithstanding anything contained in these terms, we reserve the right, without notice and in our sole discretion, to terminate this agreement or suspend your right to access the services.","The company can end this agreement or suspend your access to the services at any time, without warning."
